,mpc_costs,llm_costs
0,403.82724899324273,509.3525
1,364.33098465975024,516.750625
2,327.8957067776944,1244.0625
3,294.5214153470753,791.538125
4,264.208110367893,789.865
5,189.53472629854616,351.21578125
6,159.89735811548698,415.05140625
7,133.3209763838646,519.36328125
8,109.80558110367892,664.15140625
9,89.35117227493005,849.41578125
10,74.23007132618935,83.105625
11,54.451599293563575,72.54125
12,37.73411371237458,60.328125
13,24.077614582622346,35.541250000000005
14,13.482101904306875,16.605625
15,57.91328407617227,74.52203125
16,47.99370819397995,93.42640625000001
17,41.135118763224355,48.11328125
18,37.33751578390552,43.276406249999994
19,36.600899256023496,78.91578124999998
20,140.584364548495,189.45249999999993
21,140.5236848167361,158.23812500000008
22,143.52399153641392,167.5
23,149.5852847075285,202.47562499999998
24,158.70756433007986,200.16500000000002
