,u,x,v,c
0,0.0,1.0,0.0,100.0
1,10.0,1.0,0.5,135.0
2,10.0,1.05,1.0,200.25
3,5.0,1.1500000000000001,0.975,169.8125
4,10.0,1.2475,1.4,262.62562499999996
5,20.0,1.3875,2.77625,848.27203125
6,0.0,1.665125,2.0825,444.8947515625
7,5.0,1.873375,1.7499375,310.331514453125
8,5.0,2.04836875,1.3132499999999998,175.1965098476562
9,5.0,2.1796937499999998,0.7890656249999999,67.99144043457028
10,5.0,2.2586003124999996,0.1992187499999999,13.156223197665991
11,10.0,2.2785221874999997,0.06991859375000001,18.246321868176253
12,10.0,2.2855140468749995,-0.06934249999999989,18.63266532691894
13,10.0,2.2785797968749995,-0.2120995234374996,22.25929110693304
14,10.0,2.2573698445312496,-0.35138942187499944,28.97137626796859
15,10.0,2.2222309023437496,-0.4800743441406242,37.98579498585677
16,10.0,2.174223467929687,-0.591189795312499,47.985919085908115
17,10.0,2.115104488398437,-0.6783015292773427,57.33420078694476
18,10.0,2.0472743354707026,-0.7358537734765611,64.37156387338906
19,10.0,1.9736889581230466,-0.7594909412119125,67.75187607076076
20,10.0,1.8977398640018552,-0.7463354202734357,66.74736949690849
21,10.0,1.8231063219745116,-0.6952053522743633,61.46018551563067
22,10.0,1.7535857867470752,-0.6067585132616191,52.887585790850835
23,10.0,1.6929099354209134,-0.4835514066351568,42.81262706220264
24,10.0,1.6445547947573977,-0.33000637434561353,33.52455010386929
25,10.0,1.6115541573228365,-0.1522837717243124,27.40805198237542
26,10.0,1.5963257801504052,0.04193914961426948,26.471176804154712
27,10.0,1.6005196951118321,0.24377625953906693,31.90113787084021
28,10.0,1.624897321065739,0.44351641198315084,43.740882744206736
29,5.0,1.669248962264054,0.13106775145028132,15.157500443363785
30,5.0,1.6823557374090823,-0.2035567296817457,16.733321975565516
31,10.0,1.6620000644409076,-0.04473459838628677,21.624514073073296
32,10.0,1.657526604602279,0.12426536939325952,23.272990858568704
33,12.0,1.669953141541605,0.4955020670921201,49.84532272708198
34,8.0,1.7195033482508169,0.46052549632131756,35.47621044044984
35,20.0,1.7655558978829486,1.6007738221959094,301.74408668451713
36,0.0,1.9256332801025395,0.717995873254435,52.10484830387061
37,20.0,1.997432867427983,1.7551792332031653,348.06607308372935
38,0.0,2.1729507907482994,0.7564627994891736,60.21479430314597
39,12.0,2.2485970706972167,0.869987404115024,96.26785868780351
40,8.0,2.335595811108719,0.5456888687664155,47.44008899292892
41,10.0,2.3901646979853606,0.377890963212056,39.50300716313431
42,10.0,2.4279537943065663,0.18280861421937572,31.65634394941954
43,10.0,2.446234655728504,-0.031168282933907415,30.009682983418458
44,10.0,2.4431178274351133,-0.2542856107981593,36.10145808498078
45,0.0,2.4176892663552976,-1.475844524515716,235.2581383771446
46,20.0,2.270104813903726,-0.6846891576933647,94.17558531568157
47,15.0,2.2016358981343895,-0.31974156464522774,36.78917035782403
48,15.0,2.169661741669867,0.0794404862875775,26.009589744805943
49,10.0,2.1776057902986246,-0.0053903845473559225,13.157287299316737
50,10.0,2.177066751843889,-0.0941932796966682,14.022500854856009
